Job ID,Job Title,Company Name,Posted At,District,Group,Assigned_Occupation_Group,salary_mean_inr_month,skills
job_001,4 Wheeler Mechanic,All-Round Car Solutions,2025-02-22,"Delhi,India",Machinery Mechanics and Repairers,Vehicle Mechanics and Technicians,20000,"[{""skill"":""Problem Solving"",""bucket"":""Mission-Critical"",""mapping_similarity"":0.9079},{""skill"":""Analytical Thinking"",""bucket"":""Proficient"",""mapping_similarity"":0.8501},{""skill"":""Problem Solving"",""bucket"":""Working Knowledge"",""mapping_similarity"":0.4}]"
job_002,Automotive Service Technician,Ayyappa Swamy Tractors,2025-05-20,"Karnataka,India",Machinery Mechanics and Repairers,Vehicle Mechanics and Technicians,20000,"[{""skill"":""Vehicle Inspection"",""bucket"":""Mission Critical"",""mapping_similarity"":0.7575},{""skill"":""Mechanical Diagnosis"",""bucket"":""Proficient"",""mapping_similarity"":0.5683},{""skill"":""Part Replacement"",""bucket"":""Advanced"",""mapping_similarity"":0.5764}]"
job_003,Hotel Desk Clerk,Confidential,2025-05-18,"Kerala,India",Waiters and Bartenders,Hospitality and Travel,,"[{""skill"":""Customer Service"",""bucket"":""Mission-Critical"",""mapping_similarity"":0.6353},{""skill"":""Payment Processing"",""bucket"":""Working Knowledge"",""mapping_similarity"":0.7177}]"
job_004,Textile Machine Operator,Continental,2025-03-14,"West Bengal,India",Textile Operators,Machine Operators,18000,"[{""skill"":""Splicing"",""bucket"":""Proficient"",""mapping_similarity"":0.7343},{""skill"":""Alignment"",""bucket"":""Mission-Critical"",""mapping_similarity"":0.5271}]"
job_005,Driver,Supreme Computers,2025-07-31,"Tamil Nadu,India",Heavy Truck and Bus Drivers,Truck and Bus Drivers,19500,"[{""skill"":""Driving"",""bucket"":""Proficient"",""mapping_similarity"":0.5799},{""skill"":""Time Management"",""bucket"":""Familiarity"",""mapping_similarity"":0.7117}]"
job_006,4 Wheeler Mechanic,Confidential,2025-07-22,"Tamil Nadu,India",Machinery Mechanics and Repairers,Maintenance and Repair,1250,"[{'skill':'Electric Vehicle Repair','bucket':'Mission-Critical','mapping_similarity':0.6646},{'skill':'Vehicle Maintenance','bucket':'Proficient','mapping_similarity':0.8513}]"
job_007,4 Wheeler Mechanic,Confidential,2025-05-04,"Tamil Nadu,India",Machinery Mechanics and Repairers,Vehicle Mechanics and Technicians,12000,"[{""skill"":""Electric Vehicle Repair"",""bucket"":""Proficient"",""mapping_similarity"":0.6217},{""skill"":""Automotive Engines"",""bucket"":""critical"",""mapping_similarity"":0.6632}]"
job_008,,IPC INDIA,2025-03-05,"Delhi,India",Machinery Mechanics and Repairers,Vehicle Mechanics and Technicians,12500,"[{""skill"":""Mechanical Diagnosis"",""bucket"":""Proficient"",""mapping_similarity"":0.5683}]"
job_001,4 Wheeler Mechanic,All-Round Car Solutions,2025-02-22,"Delhi,India",Machinery Mechanics and Repairers,Vehicle Mechanics and Technicians,20000,"[{""skill"":""Problem Solving"",""bucket"":""Mission-Critical"",""mapping_similarity"":0.90}]"
,Maintenance Technician,Acme Service,2025-08-01,"Uttar Pradesh,India",Maintenance and Repair,Maintenance and Repair,15000,"[{""skill"":""Machine operation"",""bucket"":""4: Advanced"",""mapping_similarity"":0.70},{""skill"":""Machine Operation"",""bucket"":""1: Familiarity"",""mapping_similarity"":0.20}]"
